"term_id","term_name","slug","parent_id","parent_name","properties_count","term_type"
"31","Appartamenti","appartamenti","0",NULL,"2","PARENT"
"424","Bilocale","bilocale","31","Appartamenti","0","CHILD"
"429","Duplex","duplex","31","Appartamenti","0","CHILD"
"430","Mansarda","mansarda","31","Appartamenti","0","CHILD"
"423","Monolocale","monolocale","31","Appartamenti","0","CHILD"
"427","Pentalocale","pentalocale","31","Appartamenti","0","CHILD"
"428","Più di 5 locali","piu-di-5-locali","31","Appartamenti","0","CHILD"
"426","Quadrilocale","quadrilocale","31","Appartamenti","0","CHILD"
"425","Trilocale","trilocale","31","Appartamenti","0","CHILD"
"49","Camere/Posti letto","camere-posti-letto","0",NULL,"0","PARENT"
"51","Ville singole e a schiera","ville-singole-e-a-schiera","0",NULL,"0","PARENT"
"53","Case vancanza","case-vancanza","0",NULL,"1","PARENT"
"54","Loft, mansarde e altro","loft-mansarde-e-altro","0",NULL,"0","PARENT"
"366","Terreni e rustici","terreni-e-rustici","0",NULL,"0","PARENT"
"367","Garage e box","garage-e-box","0",NULL,"0","PARENT"
"368","Uffici e Locali commerciali","uffici-e-locali-commerciali","0",NULL,"0","PARENT"
"389","Ville","ville","0",NULL,"1","PARENT"
"422","Villa con Giardino","villa-con-giardino","389","Ville","1","CHILD"
"394","Uffici e Commerciali","uffici-e-commerciali","0",NULL,"0","PARENT"
"470","Abbigliamento","abbigliamento","394","Uffici e Commerciali","0","CHILD"
"448","Alimentari","alimentari","394","Uffici e Commerciali","0","CHILD"
"477","Articoli sanitari","articoli-sanitari","394","Uffici e Commerciali","0","CHILD"
"449","Autorimesse","autorimesse","394","Uffici e Commerciali","0","CHILD"
"484","Azienda agricola","azienda-agricola","394","Uffici e Commerciali","0","CHILD"
"450","Bar","bar","394","Uffici e Commerciali","0","CHILD"
"481","Borse e pelletterie","borse-e-pelletterie","394","Uffici e Commerciali","0","CHILD"
"478","Calzature","calzature","394","Uffici e Commerciali","0","CHILD"
"471","Cartoleria/libreria","cartoleria-libreria","394","Uffici e Commerciali","0","CHILD"
"451","Centro commerciale","centro-commerciale","394","Uffici e Commerciali","0","CHILD"
"452","Edicole","edicole","394","Uffici e Commerciali","0","CHILD"
"475","Enoteca","enoteca","394","Uffici e Commerciali","0","CHILD"
"453","Farmacie","farmacie","394","Uffici e Commerciali","0","CHILD"
"454","Ferramenta/casalinghi","ferramenta-casalinghi","394","Uffici e Commerciali","0","CHILD"
"482","Fioreria","fioreria","394","Uffici e Commerciali","0","CHILD"
"485","Friggitorie","friggitorie","394","Uffici e Commerciali","0","CHILD"
"472","Fruttivendolo","fruttivendolo","394","Uffici e Commerciali","0","CHILD"
"474","Gastronomia","gastronomia","394","Uffici e Commerciali","0","CHILD"
"456","Gelaterie","gelaterie","394","Uffici e Commerciali","0","CHILD"
"473","Macelleria","macelleria","394","Uffici e Commerciali","0","CHILD"
"476","Negozio di giocattoli","negozio-di-giocattoli","394","Uffici e Commerciali","0","CHILD"
"483","Oreficeria","oreficeria","394","Uffici e Commerciali","0","CHILD"
"457","Palestre","palestre","394","Uffici e Commerciali","0","CHILD"
"458","Panifici","panifici","394","Uffici e Commerciali","0","CHILD"
"460","Parrucchiere uomo/donna","parrucchiere-uomo-donna","394","Uffici e Commerciali","0","CHILD"
"459","Pasticcerie","pasticcerie","394","Uffici e Commerciali","0","CHILD"
"463","Pizzerie","pizzerie","394","Uffici e Commerciali","0","CHILD"
"479","Prodotti per animali","prodotti-per-animali","394","Uffici e Commerciali","0","CHILD"
"461","Pubs e locali serali","pubs-e-locali-serali","394","Uffici e Commerciali","0","CHILD"
"462","Ristoranti","ristoranti","394","Uffici e Commerciali","0","CHILD"
"486","Rosticcerie","rosticcerie","394","Uffici e Commerciali","0","CHILD"
"455","Sale gioco/scommesse","sale-gioco-scommesse","394","Uffici e Commerciali","0","CHILD"
"469","Showroom","showroom","394","Uffici e Commerciali","0","CHILD"
"464","Solarium e centri estetica","solarium-e-centri-estetica","394","Uffici e Commerciali","0","CHILD"
"465","Tabaccherie","tabaccherie","394","Uffici e Commerciali","0","CHILD"
"466","Telefonia/informatica","telefonia-informatica","394","Uffici e Commerciali","0","CHILD"
"480","Tessuti e tende/merceria","tessuti-e-tende-merceria","394","Uffici e Commerciali","0","CHILD"
"467","Tintorie/lavanderie","tintorie-lavanderie","394","Uffici e Commerciali","0","CHILD"
"468","Video noleggi","video-noleggi","394","Uffici e Commerciali","0","CHILD"
"395","Palazzo","palazzo","0",NULL,"0","PARENT"
"396","Ufficio","ufficio","0",NULL,"1","PARENT"
"397","Capannone","capannone","0",NULL,"0","PARENT"
"398","Appartamento","appartamento","0",NULL,"1","PARENT"
"399","Casa Singola","casa-singola","0",NULL,"1","PARENT"
"400","Stanze","stanze","0",NULL,"1","PARENT"
"431","Terreni","terreni","0",NULL,"0","PARENT"
"432","Terreno agricolo/coltura","terreno-agricolo-coltura","431","Terreni","0","CHILD"
"433","Terreno boschivo","terreno-boschivo","431","Terreni","0","CHILD"
"434","Terreno edificabile commerciale","terreno-edificabile-commerciale","431","Terreni","0","CHILD"
"435","Terreno edificabile industriale","terreno-edificabile-industriale","431","Terreni","0","CHILD"
"436","Terreno edificabile residenziale","terreno-edificabile-residenziale","431","Terreni","0","CHILD"
"437","Garage e Posti auto","garage-e-posti-auto","0",NULL,"0","PARENT"
"439","Posto auto doppio","posto-auto-doppio","437","Garage e Posti auto","0","CHILD"
"438","Posto auto singolo","posto-auto-singolo","437","Garage e Posti auto","0","CHILD"
"440","Posto auto triplo","posto-auto-triplo","437","Garage e Posti auto","0","CHILD"
"441","Camere e Posti letto","camere-e-posti-letto","0",NULL,"0","PARENT"
"443","Stanze per lavoratori","stanze-per-lavoratori","441","Camere e Posti letto","0","CHILD"
"442","Stanze per studenti","stanze-per-studenti","441","Camere e Posti letto","0","CHILD"
"444","Case singole","case-singole","0",NULL,"0","PARENT"
"445","Terratetto","terratetto","444","Case singole","0","CHILD"
"446","Rustici e Case rurali","rustici-e-case-rurali","0",NULL,"0","PARENT"
"447","Casa colonica","casa-colonica","446","Rustici e Case rurali","0","CHILD"
